Ten minute period number,Active occupant count in time period,Probability of transition to zero active occupants in next time period,Probability of transition to one active occupant in next time period,Probability of transition to two active occupants in next time period,Probability of transition to three active occupants in next time period,Probability of transition to four active occupants in next time period,Probability of transition to five active occupants in next time period,Probability of transition to six active occupants in next time period
56,3,0.000,0.014,0.171,0.720,0.093,0.002,0
56,4,0.000,0.000,0.030,0.254,0.682,0.034,0
56,5,0.000,0.000,0.014,0.037,0.272,0.677,0
56,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
57,0,0.840,0.160,0.000,0.000,0.000,0.000,0
57,1,0.012,0.819,0.159,0.009,0.001,0.000,0
57,2,0.000,0.012,0.877,0.108,0.004,0.000,0
57,3,0.000,0.000,0.023,0.907,0.069,0.001,0
57,4,0.000,0.000,0.000,0.035,0.918,0.046,0
57,5,0.000,0.000,0.000,0.011,0.044,0.944,0
57,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
58,0,1.000,0.000,0.000,0.000,0.000,0.000,0
58,1,0.016,0.984,0.000,0.000,0.000,0.000,0
58,2,0.000,0.036,0.964,0.000,0.000,0.000,0
58,3,0.000,0.000,0.046,0.954,0.000,0.000,0
58,4,0.000,0.000,0.001,0.068,0.931,0.000,0
58,5,0.000,0.000,0.000,0.000,0.067,0.933,0
58,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
59,0,0.471,0.312,0.153,0.051,0.013,0.000,0
59,1,0.053,0.544,0.308,0.091,0.003,0.001,0
59,2,0.005,0.085,0.558,0.294,0.057,0.001,0
59,3,0.001,0.009,0.134,0.647,0.192,0.018,0
59,4,0.000,0.001,0.026,0.222,0.654,0.096,0
59,5,0.000,0.000,0.015,0.015,0.253,0.716,0
59,6,0.000,0.000,0.000,0.000,0.000,0.000,0.000
60,0,0.975,0.025,0.000,0.000,0.000,0.000,0
60,1,0.029,0.935,0.036,0.000,0.000,0.000,0
60,2,0.000,0.041,0.931,0.028,0.000,0.000,0
